T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.998415	0.00158489	1.0001	6.87794	0.381156	0.0592223	-0.0496742	0.140206	0.452805	18.0449
0.998741	0.00125893	1.0001	6.87794	0.380628	0.0594373	-0.0497506	0.140011	0.452325	18.07
0.999	0.001	1.0001	6.87794	0.380208	0.0596087	-0.0498113	0.139857	0.451943	18.0899
1.00126	-0.00125893	1.0001	6.87794	0.376561	0.0611223	-0.0503438	0.138515	0.44862	18.2652
1.00158	-0.00158489	1.0001	6.87794	0.376036	0.0613435	-0.050421	0.138322	0.448141	18.2906
1.002	-0.00199526	1.0001	6.87794	0.375377	0.061623	-0.0505183	0.13808	0.447538	18.3228
1.00251	-0.00251189	1.0001	6.87794	0.374548	0.0619765	-0.0506411	0.137775	0.44678	18.3633
1.00316	-0.00316228	1.0001	6.87794	0.373506	0.0624241	-0.0507959	0.137392	0.445827	18.4145
1.00398	-0.00398107	1.0001	6.87794	0.372198	0.0629917	-0.0509912	0.13691	0.444628	18.4793
1.00501	-0.00501187	1.0001	6.87794	0.370555	0.0637128	-0.051238	0.136306	0.44312	18.5612
1.00631	-0.00630957	1.0001	6.87794	0.368495	0.064631	-0.05155	0.135548	0.441225	18.665
1.00794	-0.00794328	1.0001	6.87794	0.365912	0.0658036	-0.0519448	0.134598	0.438844	18.7967
1.01	-0.01	1.0001	6.87794	0.36268	0.0673068	-0.052445	0.133409	0.435854	18.9642
1.01259	-0.0125893	1.0001	6.87794	0.358639	0.0692424	-0.0530799	0.131923	0.432104	19.1779
1.01585	-0.0158489	1.0001	6.87794	0.353599	0.0717492	-0.0538875	0.130069	0.427403	19.4512
1.01995	-0.0199526	1.0001	6.87794	0.347328	0.0750189	-0.0549174	0.127762	0.421519	19.8024
1.02512	-0.0251189	1.0001	6.87794	0.339551	0.0793216	-0.0562351	0.124901	0.414168	20.256
1.03162	-0.0316228	1.0001	6.87794	0.329948	0.085046	-0.0579279	0.121369	0.405008	20.8455
1.03981	-0.0398107	1.0001	6.87794	0.318155	0.0927648	-0.0601138	0.117031	0.393632	21.6182
1.05012	-0.0501187	1.0001	6.87794	0.303781	0.103345	-0.0629544	0.111744	0.379574	22.6411
1.0631	-0.0630957	1.0001	6.87794	0.286432	0.118139	-0.0666747	0.105362	0.362319	24.0125
1.07943	-0.0794328	1.0001	6.87794	0.265768	0.139317	-0.0715944	0.0977608	0.341346	25.8795
1.1	-0.1	1.0001	6.87794	0.241591	0.170486	-0.0781773	0.0888675	0.316206	28.4694
1.12589	-0.125893	1.0001	6.87794	0.21398	0.217821	-0.0871117	0.0787111	0.28666	32.1429
1.15849	-0.158489	1.0001	6.87794	0.183462	0.292208	-0.0994431	0.0674853	0.252893	37.4896
1.19953	-0.199526	1.0001	6.87794	0.151173	0.41328	-0.116796	0.0556077	0.215764	45.4973
1.25119	-0.251189	1.0001	6.87794	0.118895	0.616856	-0.141739	0.0437347	0.177004	57.8488
1.31623	-0.316228	1.0001	6.87794	0.0888329	0.967966	-0.178372	0.0326765	0.139124	77.4256
1.39811	-0.398107	1.0001	6.87794	0.0630469	1.5816	-0.233207	0.0231914	0.104882	109.092
1.50119	-0.501187	1.0001	6.87794	0.0427822	2.65092	-0.316325	0.0157371	0.076418	160.766
1.63096	-0.630957	1.0001	6.87794	0.028124	4.47691	-0.442579	0.0103452	0.0545778	244.558
1.79433	-0.794328	1.0001	6.87794	0.0182223	7.48486	-0.632252	0.00670293	0.0389046	377.447
2	-1	1.0001	6.87794	0.0118439	12.2086	-0.910296	0.0043567	0.0281853	580.715
