# Filename: 2DKT_FPinject_SteadyState_vsl_T_0.1_lmax10_dl0.008_linj3_InjConst1e-20.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-20, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	2.36	7.47853	1	2.12816e-22
0.1	0.9	2.4	7.47853	1	2.12816e-22
0.1	0.9	2.44	7.47853	1	2.12816e-22
0.1	0.9	2.48	7.47853	1	2.12816e-22
0.1	0.9	2.52	7.47853	1	2.12816e-22
0.1	0.9	2.56	7.47853	1	2.12816e-22
0.1	0.9	2.6	7.47853	1	2.12816e-22
0.1	0.9	2.64	7.47853	1	2.12816e-22
0.1	0.9	2.68	7.47853	1	2.12816e-22
0.1	0.9	2.72	7.47853	1	2.12816e-22
0.1	0.9	2.76	7.47853	1	2.12816e-22
0.1	0.9	2.8	7.47853	1	2.12816e-22
0.1	0.9	2.84	7.47853	1	2.12816e-22
0.1	0.9	2.88	7.47853	1	2.12816e-22
0.1	0.9	2.92	7.47853	1	2.12816e-22
0.1	0.9	2.96	7.47853	1	2.12816e-22
0.1	0.9	3	7.47853	1	2.12816e-22
0.1	0.9	3.04	7.47853	1	3.25018e-23
0.1	0.9	3.08	7.47853	1	4.96377e-24
0.1	0.9	3.12	7.47853	1	7.5808e-25
0.1	0.9	3.16	7.47853	1	1.15776e-25
0.1	0.9	3.2	7.47853	1	1.76816e-26
0.1	0.9	3.24	7.47853	1	2.70039e-27
0.1	0.9	3.28	7.47853	1	4.12411e-28
0.1	0.9	3.32	7.47853	1	6.29845e-29
0.1	0.9	3.36	7.47853	1	9.61916e-30
0.1	0.9	3.4	7.47853	1	1.46906e-30
0.1	0.9	3.44	7.47853	1	2.2436e-31
0.1	0.9	3.48	7.47853	1	3.42648e-32
0.1	0.9	3.52	7.47853	1	5.23301e-33
0.1	0.9	3.56	7.47853	1	7.992e-34
0.1	0.9	3.6	7.47853	1	1.22056e-34
0.1	0.9	3.64	7.47853	1	1.86407e-35
0.1	0.9	3.68	7.47853	1	2.84686e-36
0.1	0.9	3.72	7.47853	1	4.34781e-37
0.1	0.9	3.76	7.47853	1	6.64009e-38
0.1	0.9	3.8	7.47853	1	1.01409e-38
0.1	0.9	3.84	7.47853	1	1.54875e-39
0.1	0.9	3.88	7.47853	1	2.36529e-40
0.1	0.9	3.92	7.47853	1	3.61234e-41
0.1	0.9	3.96	7.47853	1	5.51687e-42
0.1	0.9	4	7.47853	1	8.42551e-43
0.1	0.9	4.04	7.47853	1	1.28677e-43
0.1	0.9	4.08	7.47853	1	1.96519e-44
0.1	0.9	4.12	7.47853	1	3.00128e-45
0.1	0.9	4.16	7.47853	1	4.58364e-46
0.1	0.9	4.2	7.47853	1	7.00027e-47
0.1	0.9	4.24	7.47853	1	1.0691e-47
0.1	0.9	4.28	7.47853	1	1.63276e-48
0.1	0.9	4.32	7.47853	1	2.49359e-49
0.1	0.9	4.36	7.47853	1	3.80828e-50
0.1	0.9	4.4	7.47853	1	5.81612e-51
0.1	0.9	4.44	7.47853	1	8.88253e-52
0.1	0.9	4.48	7.47853	1	1.35656e-52
0.1	0.9	4.52	7.47853	1	2.07178e-53
0.1	0.9	4.56	7.47853	1	3.16408e-54
0.1	0.9	4.6	7.47853	1	4.83227e-55
0.1	0.9	4.64	7.47853	1	7.37998e-56
0.1	0.9	4.68	7.47853	1	1.12709e-56
0.1	0.9	4.72	7.47853	1	1.72132e-57
0.1	0.9	4.76	7.47853	1	2.62885e-58
0.1	0.9	4.8	7.47853	1	4.01486e-59
0.1	0.9	4.84	7.47853	1	6.1316e-60
0.1	0.9	4.88	7.47853	1	9.36434e-61
0.1	0.9	4.92	7.47853	1	1.43015e-61
0.1	0.9	4.96	7.47853	1	2.18416e-62
0.1	0.9	5	7.47853	1	3.33571e-63
0.1	0.9	5.04	7.47853	1	5.09439e-64
0.1	0.9	5.08	7.47853	1	7.78029e-65
0.1	0.9	5.12	7.47853	1	1.18823e-65
0.1	0.9	5.16	7.47853	1	1.81469e-66
0.1	0.9	5.2	7.47853	1	2.77145e-67
0.1	0.9	5.24	7.47853	1	4.23263e-68
0.1	0.9	5.28	7.47853	1	6.46419e-69
0.1	0.9	5.32	7.47853	1	9.87229e-70
0.1	0.9	5.36	7.47853	1	1.50772e-70
0.1	0.9	5.4	7.47853	1	2.30264e-71
0.1	0.9	5.44	7.47853	1	3.51665e-72
0.1	0.9	5.48	7.47853	1	5.37072e-73
0.1	0.9	5.52	7.47853	1	8.20231e-74
0.1	0.9	5.56	7.47853	1	1.25268e-74
0.1	0.9	5.6	7.47853	1	1.91313e-75
0.1	0.9	5.64	7.47853	1	2.92178e-76
0.1	0.9	5.68	7.47853	1	4.46222e-77
0.1	0.9	5.72	7.47853	1	6.81483e-78
0.1	0.9	5.76	7.47853	1	1.04078e-78
0.1	0.9	5.8	7.47853	1	1.58951e-79
0.1	0.9	5.84	7.47853	1	2.42754e-80
0.1	0.9	5.88	7.47853	1	3.7074e-81
0.1	0.9	5.92	7.47853	1	5.66204e-82
0.1	0.9	5.96	7.47853	1	8.64723e-83
0.1	0.9	6	7.47853	1	1.32063e-83
0.1	0.9	6.04	7.47853	1	2.0169e-84
0.1	0.9	6.08	7.47853	1	3.08026e-85
0.1	0.9	6.12	7.47853	1	4.70426e-86
0.1	0.9	6.16	7.47853	1	7.18448e-87
0.1	0.9	6.2	7.47853	1	1.09723e-87
0.1	0.9	6.24	7.47853	1	1.67573e-88
0.1	0.9	6.28	7.47853	1	2.55921e-89
0.1	0.9	6.32	7.47853	1	3.9085e-90
0.1	0.9	6.36	7.47853	1	5.96917e-91
0.1	0.9	6.4	7.47853	1	9.11628e-92
0.1	0.9	6.44	7.47853	1	1.39226e-92
0.1	0.9	6.48	7.47853	1	2.1263e-93
0.1	0.9	6.52	7.47853	1	3.24735e-94
0.1	0.9	6.56	7.47853	1	4.95944e-95
0.1	0.9	6.6	7.47853	1	7.57419e-96
0.1	0.9	6.64	7.47853	1	1.15675e-96
0.1	0.9	6.68	7.47853	1	1.76662e-97
0.1	0.9	6.72	7.47853	1	2.69803e-98
0.1	0.9	6.76	7.47853	1	4.12051e-99
0.1	0.9	6.8	7.47853	1	6.29295e-100
0.1	0.9	6.84	7.47853	1	9.61077e-101
0.1	0.9	6.88	7.47853	1	1.46778e-101
0.1	0.9	6.92	7.47853	1	2.24164e-102
0.1	0.9	6.96	7.47853	1	3.42349e-103
0.1	0.9	7	7.47853	1	5.22845e-104
0.1	0.9	7.04	7.47853	1	7.98503e-105
0.1	0.9	7.08	7.47853	1	1.2195e-105
0.1	0.9	7.12	7.47853	1	1.86245e-106
0.1	0.9	7.16	7.47853	1	2.84438e-107
0.1	0.9	7.2	7.47853	1	4.34402e-108
0.1	0.9	7.24	7.47853	1	6.6343e-109
0.1	0.9	7.28	7.47853	1	1.01321e-109
0.1	0.9	7.32	7.47853	1	1.5474e-110
0.1	0.9	7.36	7.47853	1	2.36323e-111
0.1	0.9	7.4	7.47853	1	3.60919e-112
0.1	0.9	7.44	7.47853	1	5.51205e-113
0.1	0.9	7.48	7.47853	1	8.41816e-114
0.1	0.9	7.52	7.47853	1	1.28564e-114
0.1	0.9	7.56	7.47853	1	1.96347e-115
0.1	0.9	7.6	7.47853	1	2.99867e-116
0.1	0.9	7.64	7.47853	1	4.57965e-117
0.1	0.9	7.68	7.47853	1	6.99416e-118
0.1	0.9	7.72	7.47853	1	1.06817e-118
0.1	0.9	7.76	7.47853	1	1.63133e-119
0.1	0.9	7.8	7.47853	1	2.49142e-120
0.1	0.9	7.84	7.47853	1	3.80496e-121
0.1	0.9	7.88	7.47853	1	5.81104e-122
0.1	0.9	7.92	7.47853	1	8.87478e-123
0.1	0.9	7.96	7.47853	1	1.35538e-123
0.1	0.9	8	7.47853	1	2.06998e-124
0.1	0.9	8.04	7.47853	1	3.16132e-125
0.1	0.9	8.08	7.47853	1	4.82806e-126
0.1	0.9	8.12	7.47853	1	7.37354e-127
0.1	0.9	8.16	7.47853	1	1.12611e-127
0.1	0.9	8.2	7.47853	1	1.71982e-128
0.1	0.9	8.24	7.47853	1	2.62656e-129
0.1	0.9	8.28	7.47853	1	4.01135e-130
0.1	0.9	8.32	7.47853	1	6.12625e-131
0.1	0.9	8.36	7.47853	1	9.35618e-132
0.1	0.9	8.4	7.47853	1	1.4289e-132
0.1	0.9	8.44	7.47853	1	2.18226e-133
0.1	0.9	8.48	7.47853	1	3.3328e-134
0.1	0.9	8.52	7.47853	1	5.08995e-135
0.1	0.9	8.56	7.47853	1	7.7735e-136
0.1	0.9	8.6	7.47853	1	1.18719e-136
0.1	0.9	8.64	7.47853	1	1.81311e-137
0.1	0.9	8.68	7.47853	1	2.76903e-138
0.1	0.9	8.72	7.47853	1	4.22894e-139
0.1	0.9	8.76	7.47853	1	6.45855e-140
0.1	0.9	8.8	7.47853	1	9.86368e-141
0.1	0.9	8.84	7.47853	1	1.50641e-141
0.1	0.9	8.88	7.47853	1	2.30063e-142
0.1	0.9	8.92	7.47853	1	3.51358e-143
0.1	0.9	8.96	7.47853	1	5.36604e-144
0.1	0.9	9	7.47853	1	8.19516e-145
0.1	0.9	9.04	7.47853	1	1.25159e-145
0.1	0.9	9.08	7.47853	1	1.91146e-146
0.1	0.9	9.12	7.47853	1	2.91923e-147
0.1	0.9	9.16	7.47853	1	4.45833e-148
0.1	0.9	9.2	7.47853	1	6.80888e-149
0.1	0.9	9.24	7.47853	1	1.03987e-149
0.1	0.9	9.28	7.47853	1	1.58812e-150
0.1	0.9	9.32	7.47853	1	2.42542e-151
0.1	0.9	9.36	7.47853	1	3.70417e-152
0.1	0.9	9.4	7.47853	1	5.65711e-153
0.1	0.9	9.44	7.47853	1	8.63969e-154
0.1	0.9	9.48	7.47853	1	1.31948e-154
0.1	0.9	9.52	7.47853	1	2.01514e-155
0.1	0.9	9.56	7.47853	1	3.07758e-156
0.1	0.9	9.6	7.47853	1	4.70016e-157
0.1	0.9	9.64	7.47853	1	7.17821e-158
0.1	0.9	9.68	7.47853	1	1.09628e-158
0.1	0.9	9.72	7.47853	1	1.67426e-159
0.1	0.9	9.76	7.47853	1	2.55698e-160
0.1	0.9	9.8	7.47853	1	3.90509e-161
0.1	0.9	9.84	7.47853	1	5.96396e-162
0.1	0.9	9.88	7.47853	1	9.10833e-163
0.1	0.9	9.92	7.47853	1	1.39105e-163
0.1	0.9	9.96	7.47853	1	2.12445e-164
0.1	0.9	10	7.47853	1	3.24451e-165
